Buken,Address,Age,Price
地下鉄東豊線 豊平公園駅 5階建 新築,北海道札幌市豊平区平岸四条４,"新築
5階建",8.8万円
仮）ＧＲＡＮー平岸４－４ＭＳ,北海道札幌市豊平区平岸四条４,"新築
5階建",9.9万円
地下鉄東豊線 豊平公園駅 4階建 築2年,北海道札幌市豊平区美園八条２,"築2年
4階建",10万円
ＤＰレジデンス豊平公園,北海道札幌市豊平区美園八条２,"築2年
4階建",9.4万円
地下鉄東豊線 豊平公園駅 4階建 築2年,北海道札幌市豊平区美園八条２,"築2年
4階建",9.4万円
地下鉄南北線 南平岸駅 5階建 築4年,北海道札幌市豊平区平岸六条１２,"築4年
5階建",9.6万円
アールズ・コート平岸,北海道札幌市豊平区平岸六条１２,"築4年
5階建",8.8万円
地下鉄南北線 南平岸駅 4階建 築4年,北海道札幌市豊平区平岸四条１６,"築4年
4階建",9.6万円
地下鉄南北線 南平岸駅 4階建 築6年,北海道札幌市豊平区平岸三条１０,"築6年
4階建",8.9万円
地下鉄南北線 南平岸駅 4階建 築6年,北海道札幌市豊平区平岸三条１０,"築6年
4階建",8.9万円
地下鉄南北線 南平岸駅 4階建 築6年,北海道札幌市豊平区平岸三条１０,"築6年
4階建",8.9万円
地下鉄東豊線 豊平公園駅 4階建 築7年,北海道札幌市豊平区平岸五条６,"築7年
4階建",7.2万円
地下鉄東豊線 美園駅 4階建 築7年,北海道札幌市豊平区美園十二条６,"築7年
4階建",7.2万円
地下鉄東豊線 美園駅 4階建 築7年,北海道札幌市豊平区美園七条８,"築7年
4階建",6.4万円
地下鉄南北線 南平岸駅 4階建 築8年,北海道札幌市豊平区平岸一条１３,"築8年
4階建",6.4万円
ブランシャール平岸Ｎ１,北海道札幌市豊平区平岸一条１３,"築8年
4階建",8.5万円
地下鉄南北線 南平岸駅 4階建 築8年,北海道札幌市豊平区平岸一条１３,"築8年
4階建",8.5万円
地下鉄南北線 平岸駅 4階建 築8年,北海道札幌市豊平区平岸四条９,"築8年
4階建",8.5万円
地下鉄南北線 南平岸駅 4階建 築8年,北海道札幌市豊平区平岸四条９,"築8年
4階建",7万円
地下鉄南北線 中の島駅 4階建 築8年,北海道札幌市豊平区水車町７,"築8年
4階建",7万円
地下鉄東豊線 月寒中央駅 5階建 築8年,北海道札幌市豊平区月寒東一条８,"築8年
5階建",6.7万円
地下鉄東豊線 豊平公園駅 4階建 築9年,北海道札幌市豊平区平岸五条６,"築9年
4階建",6.3万円
地下鉄東豊線 美園駅 4階建 築9年,北海道札幌市豊平区美園九条７,"築9年
4階建",6.5万円
ディアマンテ豊平,北海道札幌市豊平区平岸五条６,"築9年
4階建",6.3万円
地下鉄南北線 平岸駅 5階建 築9年,北海道札幌市豊平区平岸二条４,"築9年
5階建",6.5万円
地下鉄東豊線 学園前駅 4階建 築11年,北海道札幌市豊平区豊平八条９,"築11年
4階建",6.5万円
ルミノ豊平,北海道札幌市豊平区豊平八条９,"築11年
4階建",9.2万円
地下鉄東豊線 学園前駅 4階建 築11年,北海道札幌市豊平区豊平八条９,"築11年
4階建",9.2万円
地下鉄南北線 平岸駅 4階建 築12年,北海道札幌市豊平区平岸三条５,"築12年
4階建",7.3万円
地下鉄南北線 平岸駅 4階建 築12年,北海道札幌市豊平区平岸三条５,"築12年
4階建",8.3万円
地下鉄南北線 澄川駅 4階建 築12年,北海道札幌市南区澄川四条２,"築12年
4階建",6.5万円
地下鉄東豊線 豊平公園駅 4階建 築13年,北海道札幌市豊平区美園九条２,"築13年
4階建",7.35万円
イルマーレＤＵＯ,北海道札幌市豊平区平岸五条９,"築14年
7階建",6.5万円
地下鉄南北線 平岸駅 7階建 築14年,北海道札幌市豊平区平岸五条９,"築14年
7階建",6.9万円
地下鉄南北線 中の島駅 10階建 築15年,北海道札幌市豊平区平岸一条１,"築15年
10階建",7万円
地下鉄東豊線 豊平公園駅 5階建 築15年,北海道札幌市豊平区平岸二条２,"築15年
5階建",7万円
地下鉄東豊線 豊平公園駅 5階建 築15年,北海道札幌市豊平区平岸二条２,"築15年
5階建",6.8万円
地下鉄東豊線 美園駅 4階建 築15年,北海道札幌市豊平区美園八条３,"築15年
4階建",7.3万円
オリエントコート美園８・３,北海道札幌市豊平区美園八条３,"築15年
4階建",7.3万円
地下鉄東豊線 美園駅 4階建 築15年,北海道札幌市豊平区美園八条３,"築15年
4階建",6.4万円
地下鉄南北線 平岸駅 10階建 築16年,北海道札幌市豊平区平岸三条７,"築16年
10階建",6.9万円
地下鉄南北線 平岸駅 10階建 築16年,北海道札幌市豊平区平岸三条７,"築16年
10階建",8万円
ヴェルシーナ南平岸,北海道札幌市豊平区平岸四条１１,"築16年
3階建",8万円
地下鉄南北線 南平岸駅 3階建 築16年,北海道札幌市豊平区平岸四条１１,"築16年
3階建",7.9万円
地下鉄南北線 南平岸駅 4階建 築16年,北海道札幌市豊平区平岸四条９,"築16年
4階建",7万円
カサ　ヌーボII,北海道札幌市豊平区平岸四条９,"築16年
4階建",7万円
地下鉄南北線 南平岸駅 4階建 築16年,北海道札幌市豊平区平岸四条９,"築16年
4階建",6.5万円
地下鉄南北線 平岸駅 4階建 築18年,北海道札幌市豊平区平岸四条９,"築18年
4階建",6.5万円
Ｍａｎｙ’ｓ　Ｃｏｕｒｔ,北海道札幌市豊平区平岸四条９,"築18年
4階建",6.5万円
ノーザンライト平岸,北海道札幌市豊平区平岸四条１０,"築18年
10階建",8.4万円
